frame,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
0,0.2554289400577545,0.7074282765388489,0.3134923279285431,0.7033450603485107,0.26101309061050415,0.7740589380264282,0.2974086105823517,0.7730036973953247,0.2427319437265396,0.8018723130226135,0.33092787861824036,0.7896605730056763,0.22506004571914673,0.8485488295555115,0.33555638790130615,0.8513268232345581,0.22327227890491486,0.8596478700637817,0.3547549247741699,0.8627700209617615
1,0.25542938709259033,0.7067683935165405,0.3121258318424225,0.7029477953910828,0.261597603559494,0.7731271386146545,0.29764965176582336,0.7714583277702332,0.24272412061691284,0.8020725846290588,0.3309169411659241,0.7912404537200928,0.2247675210237503,0.8498402833938599,0.3353588581085205,0.85175621509552,0.22340166568756104,0.8562638759613037,0.3545299768447876,0.8627403974533081
2,0.25540438294410706,0.7067081928253174,0.31095170974731445,0.7027621865272522,0.2620128393173218,0.7725458145141602,0.29772841930389404,0.770588755607605,0.24265272915363312,0.8035638332366943,0.3308972120285034,0.7913075089454651,0.22471190989017487,0.850549042224884,0.3350229859352112,0.8517729043960571,0.22343941032886505,0.8555928468704224,0.35553714632987976,0.862740159034729
3,0.2607409954071045,0.7052551507949829,0.3155454397201538,0.702392041683197,0.26386550068855286,0.7714066505432129,0.2978672683238983,0.7690820693969727,0.2434423416852951,0.8039369583129883,0.336603045463562,0.7910465598106384,0.22463999688625336,0.85057133436203,0.34728845953941345,0.8516978621482849,0.2245050072669983,0.8545446395874023,0.3712652325630188,0.8605246543884277
4,0.26281994581222534,0.704821765422821,0.3171895742416382,0.7020097970962524,0.2652093768119812,0.7702832818031311,0.2981165051460266,0.768196702003479,0.24384254217147827,0.8039384484291077,0.3380291759967804,0.790856659412384,0.2245548516511917,0.8510459661483765,0.34966808557510376,0.8516532778739929,0.22517992556095123,0.853393018245697,0.37466779351234436,0.8599528670310974
5,0.27361905574798584,0.7002696394920349,0.32592254877090454,0.7006749510765076,0.27064070105552673,0.7694504857063293,0.3010113537311554,0.7682796716690063,0.24735331535339355,0.8039668798446655,0.3473946154117584,0.7902845740318298,0.22459332644939423,0.8510019183158875,0.35990673303604126,0.8511071801185608,0.2251383513212204,0.8539141416549683,0.38491159677505493,0.8569433689117432
6,0.2751317620277405,0.6996164917945862,0.3275454640388489,0.6998649835586548,0.27223441004753113,0.7678071856498718,0.3015228807926178,0.7674496173858643,0.2494751363992691,0.8038080930709839,0.34829404950141907,0.7902405858039856,0.2245911955833435,0.8509585857391357,0.3607456088066101,0.8509693741798401,0.225093275308609,0.854324996471405,0.3860670328140259,0.8561071753501892
7,0.28880372643470764,0.6942487359046936,0.3384650647640228,0.6955731511116028,0.27984926104545593,0.7643148899078369,0.3091036379337311,0.7653726935386658,0.25383955240249634,0.8037800192832947,0.35803061723709106,0.7884909510612488,0.22458812594413757,0.8508867621421814,0.36640602350234985,0.850242018699646,0.22544877231121063,0.8545090556144714,0.3916509449481964,0.8550909161567688
8,0.28945186734199524,0.693339467048645,0.33995407819747925,0.6937456727027893,0.28073278069496155,0.7618590593338013,0.3088143467903137,0.763608455657959,0.2557949423789978,0.8035104274749756,0.35877180099487305,0.7880464196205139,0.2245408445596695,0.8508452773094177,0.3672696053981781,0.850216269493103,0.225584015250206,0.8546527624130249,0.39314261078834534,0.8552243709564209
9,0.30277204513549805,0.6890191435813904,0.35140320658683777,0.6898394227027893,0.29331353306770325,0.7589101791381836,0.3211974799633026,0.7609596848487854,0.2633850872516632,0.8034919500350952,0.36673709750175476,0.7881039381027222,0.22802643477916718,0.8473594784736633,0.3694036304950714,0.8503038883209229,0.22605831921100616,0.8544745445251465,0.395041823387146,0.8552803993225098
